VariableCode,RegionCode,YearCode,AggValue
rgdpna,FRA,1981,1109984.72812507000000000
rgdpna,FRA,1982,1136814.46153111000000000
rgdpna,FRA,1983,1150819.11920986000000000
rgdpna,GRC,1969,90687.17157085540000000
rgdpna,GRC,1970,98786.06595145590000000
rgdpna,GRC,1971,106532.05621611200000000
rgdpna,GRC,1972,117355.87415487100000000
rgdpna,GRC,1973,126852.75587447200000000
rgdpna,GRC,1974,118685.67027080700000000
rgdpna,GRC,1975,126242.15979261000000000
rgdpna,GRC,1976,134892.14379999800000000
rgdpna,GRC,1977,138859.32406739100000000
rgdpna,GRC,1978,148922.26949248200000000
rgdpna,GRC,1979,153810.01783599900000000
rgdpna,GRC,1980,154851.51325383900000000
